Prev,Age,Height,Weight,Round1_Grappling_Reversals_Landed,Round1_Grappling_Standups_Landed,Round1_Grappling_Submissions_Attempts,Round1_Grappling_Takedowns_Attempts,Round1_Grappling_Takedowns_Landed,Round1_Strikes_Body Significant Strikes_Attempts,Round1_Strikes_Body Significant Strikes_Landed,Round1_Strikes_Body Total Strikes_Attempts,Round1_Strikes_Body Total Strikes_Landed,Round1_Strikes_Clinch Body Strikes_Attempts,Round1_Strikes_Clinch Body Strikes_Landed,Round1_Strikes_Clinch Head Strikes_Attempts,Round1_Strikes_Clinch Head Strikes_Landed,Round1_Strikes_Clinch Leg Strikes_Attempts,Round1_Strikes_Clinch Leg Strikes_Landed,Round1_Strikes_Clinch Significant Kicks_Attempts,Round1_Strikes_Clinch Significant Kicks_Landed,Round1_Strikes_Clinch Significant Punches_Attempts,Round1_Strikes_Clinch Significant Punches_Landed,Round1_Strikes_Clinch Significant Strikes_Attempts,Round1_Strikes_Clinch Significant Strikes_Landed,Round1_Strikes_Clinch Total Strikes_Attempts,Round1_Strikes_Clinch Total Strikes_Landed,Round1_Strikes_Distance Body Kicks_Attempts,Round1_Strikes_Distance Body Kicks_Landed,Round1_Strikes_Distance Body Punches_Attempts,Round1_Strikes_Distance Body Punches_Landed,Round1_Strikes_Distance Body Strikes_Attempts,Round1_Strikes_Distance Body Strikes_Landed,Round1_Strikes_Distance Head Kicks_Attempts,Round1_Strikes_Distance Head Kicks_Landed,Round1_Strikes_Distance Head Punches_Attempts,Round1_Strikes_Distance Head Punches_Landed,Round1_Strikes_Distance Head Strikes_Attempts,Round1_Strikes_Distance Head Strikes_Landed,Round1_Strikes_Distance Leg Kicks_Attempts,Round1_Strikes_Distance Leg Kicks_Landed,Round1_Strikes_Distance Leg Strikes_Attempts,Round1_Strikes_Distance Leg Strikes_Landed,Round1_Strikes_Distance Strikes_Attempts,Round1_Strikes_Distance Strikes_Landed,Round1_Strikes_Ground Body Strikes_Attempts,Round1_Strikes_Ground Body Strikes_Landed,Round1_Strikes_Ground Head Strikes_Attempts,Round1_Strikes_Ground Head Strikes_Landed,Round1_Strikes_Ground Leg Strikes_Attempts,Round1_Strikes_Ground Leg Strikes_Landed,Round1_Strikes_Ground Significant Kicks_Attempts,Round1_Strikes_Ground Significant Kicks_Landed,Round1_Strikes_Ground Significant Punches_Attempts,Round1_Strikes_Ground Significant Punches_Landed,Round1_Strikes_Ground Significant Strikes_Attempts,Round1_Strikes_Ground Significant Strikes_Landed,Round1_Strikes_Ground Total Strikes_Attempts,Round1_Strikes_Ground Total Strikes_Landed,Round1_Strikes_Head Significant Strikes_Attempts,Round1_Strikes_Head Significant Strikes_Landed,Round1_Strikes_Head Total Strikes_Attempts,Round1_Strikes_Head Total Strikes_Landed,Round1_Strikes_Kicks_Attempts,Round1_Strikes_Kicks_Landed,Round1_Strikes_Knock Down_Landed,Round1_Strikes_Leg Total Strikes_Attempts,Round1_Strikes_Leg Total Strikes_Landed,Round1_Strikes_Legs Significant Strikes_Attempts,Round1_Strikes_Legs Significant Strikes_Landed,Round1_Strikes_Legs Total Strikes_Attempts,Round1_Strikes_Legs Total Strikes_Landed,Round1_Strikes_Punches_Attempts,Round1_Strikes_Punches_Landed,Round1_Strikes_Significant Strikes_Attempts,Round1_Strikes_Significant Strikes_Landed,Round1_Strikes_Total Strikes_Attempts,Round1_Strikes_Total Strikes_Landed,Round1_TIP_Back Control Time,Round1_TIP_Clinch Time,Round1_TIP_Control Time,Round1_TIP_Distance Time,Round1_TIP_Ground Control Time,Round1_TIP_Ground Time,Round1_TIP_Guard Control Time,Round1_TIP_Half Guard Control Time,Round1_TIP_Misc. Ground Control Time,Round1_TIP_Mount Control Time,Round1_TIP_Neutral Time,Round1_TIP_Side Control Time,Round1_TIP_Standing Time,Round2_Grappling_Reversals_Landed,Round2_Grappling_Standups_Landed,Round2_Grappling_Submissions_Attempts,Round2_Grappling_Takedowns_Attempts,Round2_Grappling_Takedowns_Landed,Round2_Strikes_Body Significant Strikes_Attempts,Round2_Strikes_Body Significant Strikes_Landed,Round2_Strikes_Body Total Strikes_Attempts,Round2_Strikes_Body Total Strikes_Landed,Round2_Strikes_Clinch Body Strikes_Attempts,Round2_Strikes_Clinch Body Strikes_Landed,Round2_Strikes_Clinch Head Strikes_Attempts,Round2_Strikes_Clinch Head Strikes_Landed,Round2_Strikes_Clinch Leg Strikes_Attempts,Round2_Strikes_Clinch Leg Strikes_Landed,Round2_Strikes_Clinch Significant Kicks_Attempts,Round2_Strikes_Clinch Significant Kicks_Landed,Round2_Strikes_Clinch Significant Punches_Attempts,Round2_Strikes_Clinch Significant Punches_Landed,Round2_Strikes_Clinch Significant Strikes_Attempts,Round2_Strikes_Clinch Significant Strikes_Landed,Round2_Strikes_Clinch Total Strikes_Attempts,Round2_Strikes_Clinch Total Strikes_Landed,Round2_Strikes_Distance Body Kicks_Attempts,Round2_Strikes_Distance Body Kicks_Landed,Round2_Strikes_Distance Body Punches_Attempts,Round2_Strikes_Distance Body Punches_Landed,Round2_Strikes_Distance Body Strikes_Attempts,Round2_Strikes_Distance Body Strikes_Landed,Round2_Strikes_Distance Head Kicks_Attempts,Round2_Strikes_Distance Head Kicks_Landed,Round2_Strikes_Distance Head Punches_Attempts,Round2_Strikes_Distance Head Punches_Landed,Round2_Strikes_Distance Head Strikes_Attempts,Round2_Strikes_Distance Head Strikes_Landed,Round2_Strikes_Distance Leg Kicks_Attempts,Round2_Strikes_Distance Leg Kicks_Landed,Round2_Strikes_Distance Leg Strikes_Attempts,Round2_Strikes_Distance Leg Strikes_Landed,Round2_Strikes_Distance Strikes_Attempts,Round2_Strikes_Distance Strikes_Landed,Round2_Strikes_Ground Body Strikes_Attempts,Round2_Strikes_Ground Body Strikes_Landed,Round2_Strikes_Ground Head Strikes_Attempts,Round2_Strikes_Ground Head Strikes_Landed,Round2_Strikes_Ground Leg Strikes_Attempts,Round2_Strikes_Ground Leg Strikes_Landed,Round2_Strikes_Ground Significant Kicks_Attempts,Round2_Strikes_Ground Significant Kicks_Landed,Round2_Strikes_Ground Significant Punches_Attempts,Round2_Strikes_Ground Significant Punches_Landed,Round2_Strikes_Ground Significant Strikes_Attempts,Round2_Strikes_Ground Significant Strikes_Landed,Round2_Strikes_Ground Total Strikes_Attempts,Round2_Strikes_Ground Total Strikes_Landed,Round2_Strikes_Head Significant Strikes_Attempts,Round2_Strikes_Head Significant Strikes_Landed,Round2_Strikes_Head Total Strikes_Attempts,Round2_Strikes_Head Total Strikes_Landed,Round2_Strikes_Kicks_Attempts,Round2_Strikes_Kicks_Landed,Round2_Strikes_Knock Down_Landed,Round2_Strikes_Leg Total Strikes_Attempts,Round2_Strikes_Leg Total Strikes_Landed,Round2_Strikes_Legs Significant Strikes_Attempts,Round2_Strikes_Legs Significant Strikes_Landed,Round2_Strikes_Legs Total Strikes_Attempts,Round2_Strikes_Legs Total Strikes_Landed,Round2_Strikes_Punches_Attempts,Round2_Strikes_Punches_Landed,Round2_Strikes_Significant Strikes_Attempts,Round2_Strikes_Significant Strikes_Landed,Round2_Strikes_Total Strikes_Attempts,Round2_Strikes_Total Strikes_Landed,Round2_TIP_Back Control Time,Round2_TIP_Clinch Time,Round2_TIP_Control Time,Round2_TIP_Distance Time,Round2_TIP_Ground Control Time,Round2_TIP_Ground Time,Round2_TIP_Guard Control Time,Round2_TIP_Half Guard Control Time,Round2_TIP_Misc. Ground Control Time,Round2_TIP_Mount Control Time,Round2_TIP_Neutral Time,Round2_TIP_Side Control Time,Round2_TIP_Standing Time,Round3_Grappling_Reversals_Landed,Round3_Grappling_Standups_Landed,Round3_Grappling_Submissions_Attempts,Round3_Grappling_Takedowns_Attempts,Round3_Grappling_Takedowns_Landed,Round3_Strikes_Body Significant Strikes_Attempts,Round3_Strikes_Body Significant Strikes_Landed,Round3_Strikes_Body Total Strikes_Attempts,Round3_Strikes_Body Total Strikes_Landed,Round3_Strikes_Clinch Body Strikes_Attempts,Round3_Strikes_Clinch Body Strikes_Landed,Round3_Strikes_Clinch Head Strikes_Attempts,Round3_Strikes_Clinch Head Strikes_Landed,Round3_Strikes_Clinch Leg Strikes_Attempts,Round3_Strikes_Clinch Leg Strikes_Landed,Round3_Strikes_Clinch Significant Kicks_Attempts,Round3_Strikes_Clinch Significant Kicks_Landed,Round3_Strikes_Clinch Significant Punches_Attempts,Round3_Strikes_Clinch Significant Punches_Landed,Round3_Strikes_Clinch Significant Strikes_Attempts,Round3_Strikes_Clinch Significant Strikes_Landed,Round3_Strikes_Clinch Total Strikes_Attempts,Round3_Strikes_Clinch Total Strikes_Landed,Round3_Strikes_Distance Body Kicks_Attempts,Round3_Strikes_Distance Body Kicks_Landed,Round3_Strikes_Distance Body Punches_Attempts,Round3_Strikes_Distance Body Punches_Landed,Round3_Strikes_Distance Body Strikes_Attempts,Round3_Strikes_Distance Body Strikes_Landed,Round3_Strikes_Distance Head Kicks_Attempts,Round3_Strikes_Distance Head Kicks_Landed,Round3_Strikes_Distance Head Punches_Attempts,Round3_Strikes_Distance Head Punches_Landed,Round3_Strikes_Distance Head Strikes_Attempts,Round3_Strikes_Distance Head Strikes_Landed,Round3_Strikes_Distance Leg Kicks_Attempts,Round3_Strikes_Distance Leg Kicks_Landed,Round3_Strikes_Distance Leg Strikes_Attempts,Round3_Strikes_Distance Leg Strikes_Landed,Round3_Strikes_Distance Strikes_Attempts,Round3_Strikes_Distance Strikes_Landed,Round3_Strikes_Ground Body Strikes_Attempts,Round3_Strikes_Ground Body Strikes_Landed,Round3_Strikes_Ground Head Strikes_Attempts,Round3_Strikes_Ground Head Strikes_Landed,Round3_Strikes_Ground Leg Strikes_Attempts,Round3_Strikes_Ground Leg Strikes_Landed,Round3_Strikes_Ground Significant Kicks_Attempts,Round3_Strikes_Ground Significant Kicks_Landed,Round3_Strikes_Ground Significant Punches_Attempts,Round3_Strikes_Ground Significant Punches_Landed,Round3_Strikes_Ground Significant Strikes_Attempts,Round3_Strikes_Ground Significant Strikes_Landed,Round3_Strikes_Ground Total Strikes_Attempts,Round3_Strikes_Ground Total Strikes_Landed,Round3_Strikes_Head Significant Strikes_Attempts,Round3_Strikes_Head Significant Strikes_Landed,Round3_Strikes_Head Total Strikes_Attempts,Round3_Strikes_Head Total Strikes_Landed,Round3_Strikes_Kicks_Attempts,Round3_Strikes_Kicks_Landed,Round3_Strikes_Knock Down_Landed,Round3_Strikes_Leg Total Strikes_Attempts,Round3_Strikes_Leg Total Strikes_Landed,Round3_Strikes_Legs Significant Strikes_Attempts,Round3_Strikes_Legs Significant Strikes_Landed,Round3_Strikes_Legs Total Strikes_Attempts,Round3_Strikes_Legs Total Strikes_Landed,Round3_Strikes_Punches_Attempts,Round3_Strikes_Punches_Landed,Round3_Strikes_Significant Strikes_Attempts,Round3_Strikes_Significant Strikes_Landed,Round3_Strikes_Total Strikes_Attempts,Round3_Strikes_Total Strikes_Landed,Round3_TIP_Back Control Time,Round3_TIP_Clinch Time,Round3_TIP_Control Time,Round3_TIP_Distance Time,Round3_TIP_Ground Control Time,Round3_TIP_Ground Time,Round3_TIP_Guard Control Time,Round3_TIP_Half Guard Control Time,Round3_TIP_Misc. Ground Control Time,Round3_TIP_Mount Control Time,Round3_TIP_Neutral Time,Round3_TIP_Side Control Time,Round3_TIP_Standing Time,Round4_Grappling_Reversals_Landed,Round4_Grappling_Standups_Landed,Round4_Grappling_Submissions_Attempts,Round4_Grappling_Takedowns_Attempts,Round4_Grappling_Takedowns_Landed,Round4_Strikes_Body Significant Strikes_Attempts,Round4_Strikes_Body Significant Strikes_Landed,Round4_Strikes_Body Total Strikes_Attempts,Round4_Strikes_Body Total Strikes_Landed,Round4_Strikes_Clinch Body Strikes_Attempts,Round4_Strikes_Clinch Body Strikes_Landed,Round4_Strikes_Clinch Head Strikes_Attempts,Round4_Strikes_Clinch Head Strikes_Landed,Round4_Strikes_Clinch Leg Strikes_Attempts,Round4_Strikes_Clinch Leg Strikes_Landed,Round4_Strikes_Clinch Significant Kicks_Attempts,Round4_Strikes_Clinch Significant Kicks_Landed,Round4_Strikes_Clinch Significant Punches_Attempts,Round4_Strikes_Clinch Significant Punches_Landed,Round4_Strikes_Clinch Significant Strikes_Attempts,Round4_Strikes_Clinch Significant Strikes_Landed,Round4_Strikes_Clinch Total Strikes_Attempts,Round4_Strikes_Clinch Total Strikes_Landed,Round4_Strikes_Distance Body Kicks_Attempts,Round4_Strikes_Distance Body Kicks_Landed,Round4_Strikes_Distance Body Punches_Attempts,Round4_Strikes_Distance Body Punches_Landed,Round4_Strikes_Distance Body Strikes_Attempts,Round4_Strikes_Distance Body Strikes_Landed,Round4_Strikes_Distance Head Kicks_Attempts,Round4_Strikes_Distance Head Kicks_Landed,Round4_Strikes_Distance Head Punches_Attempts,Round4_Strikes_Distance Head Punches_Landed,Round4_Strikes_Distance Head Strikes_Attempts,Round4_Strikes_Distance Head Strikes_Landed,Round4_Strikes_Distance Leg Kicks_Attempts,Round4_Strikes_Distance Leg Kicks_Landed,Round4_Strikes_Distance Leg Strikes_Attempts,Round4_Strikes_Distance Leg Strikes_Landed,Round4_Strikes_Distance Strikes_Attempts,Round4_Strikes_Distance Strikes_Landed,Round4_Strikes_Ground Body Strikes_Attempts,Round4_Strikes_Ground Body Strikes_Landed,Round4_Strikes_Ground Head Strikes_Attempts,Round4_Strikes_Ground Head Strikes_Landed,Round4_Strikes_Ground Leg Strikes_Attempts,Round4_Strikes_Ground Leg Strikes_Landed,Round4_Strikes_Ground Significant Kicks_Attempts,Round4_Strikes_Ground Significant Kicks_Landed,Round4_Strikes_Ground Significant Punches_Attempts,Round4_Strikes_Ground Significant Punches_Landed,Round4_Strikes_Ground Significant Strikes_Attempts,Round4_Strikes_Ground Significant Strikes_Landed,Round4_Strikes_Ground Total Strikes_Attempts,Round4_Strikes_Ground Total Strikes_Landed,Round4_Strikes_Head Significant Strikes_Attempts,Round4_Strikes_Head Significant Strikes_Landed,Round4_Strikes_Head Total Strikes_Attempts,Round4_Strikes_Head Total Strikes_Landed,Round4_Strikes_Kicks_Attempts,Round4_Strikes_Kicks_Landed,Round4_Strikes_Knock Down_Landed,Round4_Strikes_Leg Total Strikes_Attempts,Round4_Strikes_Leg Total Strikes_Landed,Round4_Strikes_Legs Significant Strikes_Attempts,Round4_Strikes_Legs Significant Strikes_Landed,Round4_Strikes_Legs Total Strikes_Attempts,Round4_Strikes_Legs Total Strikes_Landed,Round4_Strikes_Punches_Attempts,Round4_Strikes_Punches_Landed,Round4_Strikes_Significant Strikes_Attempts,Round4_Strikes_Significant Strikes_Landed,Round4_Strikes_Total Strikes_Attempts,Round4_Strikes_Total Strikes_Landed,Round4_TIP_Back Control Time,Round4_TIP_Clinch Time,Round4_TIP_Control Time,Round4_TIP_Distance Time,Round4_TIP_Ground Control Time,Round4_TIP_Ground Time,Round4_TIP_Guard Control Time,Round4_TIP_Half Guard Control Time,Round4_TIP_Misc. Ground Control Time,Round4_TIP_Mount Control Time,Round4_TIP_Neutral Time,Round4_TIP_Side Control Time,Round4_TIP_Standing Time,Round5_Grappling_Reversals_Landed,Round5_Grappling_Standups_Landed,Round5_Grappling_Submissions_Attempts,Round5_Grappling_Takedowns_Attempts,Round5_Grappling_Takedowns_Landed,Round5_Strikes_Body Significant Strikes_Attempts,Round5_Strikes_Body Significant Strikes_Landed,Round5_Strikes_Body Total Strikes_Attempts,Round5_Strikes_Body Total Strikes_Landed,Round5_Strikes_Clinch Body Strikes_Attempts,Round5_Strikes_Clinch Body Strikes_Landed,Round5_Strikes_Clinch Head Strikes_Attempts,Round5_Strikes_Clinch Head Strikes_Landed,Round5_Strikes_Clinch Leg Strikes_Attempts,Round5_Strikes_Clinch Leg Strikes_Landed,Round5_Strikes_Clinch Significant Kicks_Attempts,Round5_Strikes_Clinch Significant Kicks_Landed,Round5_Strikes_Clinch Significant Punches_Attempts,Round5_Strikes_Clinch Significant Punches_Landed,Round5_Strikes_Clinch Significant Strikes_Attempts,Round5_Strikes_Clinch Significant Strikes_Landed,Round5_Strikes_Clinch Total Strikes_Attempts,Round5_Strikes_Clinch Total Strikes_Landed,Round5_Strikes_Distance Body Kicks_Attempts,Round5_Strikes_Distance Body Kicks_Landed,Round5_Strikes_Distance Body Punches_Attempts,Round5_Strikes_Distance Body Punches_Landed,Round5_Strikes_Distance Body Strikes_Attempts,Round5_Strikes_Distance Body Strikes_Landed,Round5_Strikes_Distance Head Kicks_Attempts,Round5_Strikes_Distance Head Kicks_Landed,Round5_Strikes_Distance Head Punches_Attempts,Round5_Strikes_Distance Head Punches_Landed,Round5_Strikes_Distance Head Strikes_Attempts,Round5_Strikes_Distance Head Strikes_Landed,Round5_Strikes_Distance Leg Kicks_Attempts,Round5_Strikes_Distance Leg Kicks_Landed,Round5_Strikes_Distance Leg Strikes_Attempts,Round5_Strikes_Distance Leg Strikes_Landed,Round5_Strikes_Distance Strikes_Attempts,Round5_Strikes_Distance Strikes_Landed,Round5_Strikes_Ground Body Strikes_Attempts,Round5_Strikes_Ground Body Strikes_Landed,Round5_Strikes_Ground Head Strikes_Attempts,Round5_Strikes_Ground Head Strikes_Landed,Round5_Strikes_Ground Leg Strikes_Attempts,Round5_Strikes_Ground Leg Strikes_Landed,Round5_Strikes_Ground Significant Kicks_Attempts,Round5_Strikes_Ground Significant Kicks_Landed,Round5_Strikes_Ground Significant Punches_Attempts,Round5_Strikes_Ground Significant Punches_Landed,Round5_Strikes_Ground Significant Strikes_Attempts,Round5_Strikes_Ground Significant Strikes_Landed,Round5_Strikes_Ground Total Strikes_Attempts,Round5_Strikes_Ground Total Strikes_Landed,Round5_Strikes_Head Significant Strikes_Attempts,Round5_Strikes_Head Significant Strikes_Landed,Round5_Strikes_Head Total Strikes_Attempts,Round5_Strikes_Head Total Strikes_Landed,Round5_Strikes_Kicks_Attempts,Round5_Strikes_Kicks_Landed,Round5_Strikes_Knock Down_Landed,Round5_Strikes_Leg Total Strikes_Attempts,Round5_Strikes_Leg Total Strikes_Landed,Round5_Strikes_Legs Significant Strikes_Attempts,Round5_Strikes_Legs Significant Strikes_Landed,Round5_Strikes_Legs Total Strikes_Attempts,Round5_Strikes_Legs Total Strikes_Landed,Round5_Strikes_Punches_Attempts,Round5_Strikes_Punches_Landed,Round5_Strikes_Significant Strikes_Attempts,Round5_Strikes_Significant Strikes_Landed,Round5_Strikes_Total Strikes_Attempts,Round5_Strikes_Total Strikes_Landed,Round5_TIP_Back Control Time,Round5_TIP_Clinch Time,Round5_TIP_Control Time,Round5_TIP_Distance Time,Round5_TIP_Ground Control Time,Round5_TIP_Ground Time,Round5_TIP_Guard Control Time,Round5_TIP_Half Guard Control Time,Round5_TIP_Misc. Ground Control Time,Round5_TIP_Mount Control Time,Round5_TIP_Neutral Time,Round5_TIP_Side Control Time,Round5_TIP_Standing Time,Name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alistair overeem
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ricardo lamas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urijah faber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,danny martinez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tom watson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alan patrick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevin lee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rashid magomedov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gasan umalatov
