Fighters
Alistair Overeem
Ricardo Lamas
Urijah Faber
Danny Martinez
Tom Watson
Alan Patrick
Kevin Lee
Rashid Magomedov
Gasan Umalatov
Ali Bagautinov
Abel Trujillo
Andy Enz
Gegard Mousasi
Francis Carmont
Joe Proctor
Nico Musoke
Andy Ogle
Zubaira Tukhugov
Ivan Jorge
Wilson Reis
Maximo Blanco
Takenori Sato
Albert Tumenov
Hyun Gyu Lim
Sean Soriano
Luiz Dutra
Shunichi Shimizu
Quinn Mulhern
Jon Delos Reyes
Tae Hyun Bang
Will Chope
Dave Galera
Russell Doane
Jimi Manuwa
Ilir Latifi
Neil Seery
Omari Akhmedov
Danny Mitchell
Claudio Silva
Mats Nilsson
Louis Gaudinot
Demian Maia
TJ Waldburger
Pedro Munhoz
Stephen Thompson
Sara McMann
Jessica Eye
Aljamain Sterling
Erik Koch
Joshua Sampo
Yosdenis Cedeno
Elias Silverio
Sam Sicilia
Mike Easton
Costas Philippou
Brad Tavares
Brian Houston
Beneil Dariush
Justin Edwards
Derek Brunson
Garett Whiteley
Dustin Ortiz
Louis Smolka
Gabriel Gonzaga
Hugo Viana
Josh Thomson
Jeremy Stephens
Jesse Ronson
Melvin Guillard
Patrick Cummins
Yaotzin Meza
Rob Whiteford
Charlie Brenneman
Norman Parke
Elias Theodorou
Ryan LaFlare
Rafael Natal
Bryan Caraway
Eddie Gordon
Alex Caceres
Trevor Smith
Shayna Baszler
Adriano Martins
Yves Jabouin
Nikita Krylov
Mike Rio
Sergio Pettis
Mike Rhodes
Robbie Lawler
Sean Strickland
Hector Lombard
Myles Jury
Alex Garcia
Tyron Woodley
Justin Scoggins
Rick Story
Jimy Hettes
Jessica Andrade
Francisco Trevino
John Hathaway
Shawn Jordan
Ivan Menjivar
Yui Chul Nam
Vaughan Lee
Lipeng Zhang
An Ying Wang
Mark Eddiva
Glover Teixeira
Andre Fili
Tim Elliott
Bethe Correia
Tim Boetsch
Anthony Johnson
Yancy Medeiros
Isaac Vallie-Flagg
Patrick Williams
Khabib Nurmagomedov
Travis Browne
Liz Carmouche
Edson Barboza
Yoel Romero
Pat Healy
Luke Zachrich
Seth Baczynski
Hernani Perpetuo
Jack May
Alex White
Ray Borg
Chas Skelly
Dan Henderson
Hans Stringer
CB Dollaway
Gian Villante
Steven Siler
Mairbek Taisumov
Thiago Santos
Scott Jorgensen
Kenny Robertson
Noad Lahat
Kyle Noke
Tim Gorman
KJ Noons
Tim Kennedy
Mike de la Torre
Leslie Smith
Sean O'Connell
Dustin Kimura
Akira Corassani
Olivier Aubin-Mercier
Vik Grujic
Chris Indich
Jake Ellenberger
Chico Camus
Aaron Phillips
James Krause
Francisco Rivera
Mitch Clarke
Francisco Trinaldo
Katsunori Kikuno
Vinc Pichel
Li Jingliang
TJ Dillashaw
Roy Nelson
Tatsuya Kawajiri
Daniel Omielanczuk
Johnny Bedford
Jim Alers
Ernest Chavez
Robert Peralta
Alexander Yakovlev
Matt Hobar
Fabio Maldonado
Antonio Carlos Junior
Warlley Alves
Wagner Silva
Richardson Moreira
Ben Wall
Ruon Potts
Nik Lentz
Darrell Montague
Zak Cummings
Johnny Eduardo
Daron Cruickshank
Lorenz Larkin
Erick Silva
Tim Means
Piotr Hallmann
Rustam Khabilov
Lance Benoist
John Moraga
Roger Narvaez
Ross Pearson
Jason High
Jake Lindsey
Josh Shockley
Kiichi Kunimoto
Michinori Tanaka
Rafael Feijao
Brendan Schaub
Elizabeth Phillips
Ryan Jimmo
Anthony Hamilton
Carlos Diego Ferreira
Cody Gibson
Andrew Craig
Antonio Braga Neto
James Moontasri
Hacran Dias
Shane Howell
BJ Penn
Guto Inocente
Alexis Dufresne
Leandro Issa
Juan Puig
Keith Berish
Matt Van Buren
Daniel Spohn
Niklas Backstrom
Drew Dober
Pawel Pawlak
Krzysztof Jotko
Iuri Alcantara
Ruslan Magomedov
Lyoto Machida
Alexis Davis
Bruno Santos
Ildemar Alcantara
Guilherme Vasconcelos
Rob Font
Bubba Bush
Nate Marquardt
Charles Oliveira
Jared Rosholt
Rodrigo de Lima
Ian Entwistle
Roldan Sangcha-an
Dashon Johnson
Diego Brandao
Ian McCall
Chris Dempsey
Phil Harris
Naoyuki Kotani
Mike King
Josh Sampo
Jim Miller
Alptekin Ozkilic
Leonardo Mafra
Evan Dunham
Jerrod Sanders
Tina Lahdemaki
Joe Soto
Danny Castillo
Diego Ferreira
Damon Jackson
Cain Carrizosa
Rogerio Nogueira
Bobby Green
Dennis Bermudez
Gilbert Burns
Matt Brown
Jorge Masvidal
Brian Ortega
Joanna Jedrzejczyk
Cung Le
Dong Hyun Kim
Jianping Yang
Brendan O'Reilly
Shinsho Anzai
Yuta Sasaki
Colby Covington
Milana Dudieva
Royston Wee
Rin Nakai
Takanori Gomi
Amir Sadollah
Masanori Kanehara
Richard Walsh
Kyung Ho Kang
Johnny Case
Dan Hooker
Zach Makovsky
Alan Jouban
Sam Alvey
Ovince Saint Preux
Lauren Murphy
Frankie Saenz
Joby Sanchez
Jordan Mein
Tom Niinimaki
Rafael dos Anjos
Clay Collard
Thales Leites
Valmir Lazaro
Chris Heatherly
Michael Chiesa
Ben Rothwell
Derrick Lewis
Tateki Matsuda
Chris Camozzi
Rodrigo Damm
Takeya Mizugaki
Amanda Nunes
Brian Ebersole
Chris Cariaso
Conor McGregor
Eddie Alvarez
Efrain Escudero
Wendell Oliveira
Sean Spencer
George Sullivan
Larissa Pacheco
Andrei Arlovski
Mike Wilkinson
Charles Rosa
Jan Blachowicz
Marcin Bandel
Scott Askham
Max Holloway
Chad Mendes
Phil Davis
Neil Magny
Lucas Martins
Christos Giagos
Tony Martin
Tarec Saffiedine
Roman Salazar
Paul Felder
Chris Kelades
Anthony Njokuani
Mark Hunt
Kelvin Gastelum
Hector Urbina
Jose Quinonez
Guido Cannetti
Marlon Vera
